Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
1791.1002,0,,1791.1002,0.0,,1791.1002,0.3125,,1791.0998,0.75,,1791.1004,3.3000000000000003,,1791.1002,159,,1791.1002,4.5,,1791.0998,108.4375,,1791.0998,35,,1791.1002,4.5625,,1791.1002,6.6875,,1791.1002,2.03515625,,1791.1002,0.0625,,1791.1002,4.0625,,1791.1002,3.75,,
1791.12,0,,1791.1204,0.0,,1791.1204,-0.6875,,1791.1198,0.75,,1791.1204,3.4000000000000004,,1791.12,159,,1791.1202,4.5,,1791.1198,108.4375,,1791.1198,35,,1791.12,4.75,,1791.1202,6.6875,,1791.1204,2.046875,,1791.1204,0.1875,,1791.1202,4.0625,,1791.1202,3.5,,
1791.14,4,,1791.1404,0.0,,1791.1404,-0.3125,,1791.1398,0.75,,1791.1404,3.5,,1791.14,160,,1791.1402,4.6875,,1791.1398,108.5,,1791.1398,35,,1791.14,4.875,,1791.1402,6.6875,,1791.1404,2.046875,,1791.1404,0.125,,1791.1402,4.1875,,1791.1402,3.875,,
1791.16,0,,1791.1602,0.0,,1791.1602,0.125,,1791.1598,0.75,,1791.1602,3.5,,1791.16,160,,1791.1602,4.8125,,1791.1598,108.5,,1791.1598,35,,1791.16,4.875,,1791.1602,6.625,,1791.1602,2.0546875,,1791.1602,0.125,,1791.1602,4.3125,,1791.1602,4.5,,
1791.18,4,,1791.1802,0.0,,1791.1802,0.0625,,1791.1798,0.75,,1791.1804,3.5,,1791.18,160,,1791.1802,4.8125,,1791.1798,108.4375,,1791.1798,35,,1791.18,4.875,,1791.1802,6.625,,1791.1802,2.01953125,,1791.1802,0.125,,1791.1802,4.375,,1791.1802,4.4375,,
1791.2,4,,1791.2002,0.0,,1791.2002,-0.8125,,1791.1998,0.75,,1791.2004,3.3000000000000003,,1791.2,160,,1791.2,4.8125,,1791.1998,108.4375,,1791.1998,35,,1791.2,4.5625,,1791.2,6.875,,1791.2002,2.01171875,,1791.2002,0.25,,1791.2,4.375,,1791.2,1.75,,
1791.2202,0,,1791.2204,0.0,,1791.2204,1.875,,1791.22,0.75,,1791.2204,3.3000000000000003,,1791.2202,160,,1791.2202,4.625,,1791.22,108.5,,1791.22,35,,1791.2202,4.5625,,1791.2202,6.8125,,1791.2204,2.02734375,,1791.2204,-0.0625,,1791.2202,4.125,,1791.2202,2.4375,,
1791.2402,4,,1791.2404,0.0,,1791.2404,-0.0625,,1791.24,0.75,,1791.2404,3.4000000000000004,,1791.2402,160,,1791.2402,4.5,,1791.24,108.4375,,1791.24,35,,1791.2402,4.75,,1791.2402,6.625,,1791.2404,1.9921875,,1791.2404,0.1875,,1791.2402,4.0625,,1791.2402,4.5,,
1791.2602,0,,1791.2604,0.0,,1791.2604,-1.5,,1791.26,0.75,,1791.2604,3.1,,1791.2602,160,,1791.2602,4.6875,,1791.26,108.4375,,1791.26,35,,1791.2602,4.3125,,1791.2602,6.6875,,1791.2604,2.0,,1791.2604,0.3125,,1791.2602,4.1875,,1791.2602,3.875,,
1791.28,4,,1791.2804,0.0,,1791.2804,0.4375,,1791.28,0.75,,1791.2804,3.2,,1791.28,160,,1791.2802,4.375,,1791.28,108.4375,,1791.28,35,,1791.28,4.4375,,1791.2802,6.5625,,1791.2804,2.01171875,,1791.2804,0.125,,1791.2802,3.9375,,1791.2802,4.8125,,
1791.3002,4,,1791.3004,0.0,,1791.3004,-0.625,,1791.3,0.75,,1791.3004,3.3000000000000003,,1791.3002,160,,1791.3004,4.375,,1791.3,108.5,,1791.3,35,,1791.3002,4.5625,,1791.3004,6.625,,1791.3004,2.01171875,,1791.3004,0.25,,1791.3004,3.9375,,1791.3004,3.75,,
1791.3202,0,,1791.3202,0.0,,1791.3202,-0.375,,1791.32,0.75,,1791.3204,3.3000000000000003,,1791.3202,160,,1791.3202,4.5,,1791.32,108.5,,1791.32,35,,1791.3202,4.5625,,1791.3202,6.625,,1791.3202,2.01953125,,1791.3202,0.1875,,1791.3202,4.0625,,1791.3202,4.25,,
1791.3402,4,,1791.3404,0.0,,1791.3404,0.9375,,1791.34,0.75,,1791.3404,3.3000000000000003,,1791.3402,161,,1791.3402,4.5,,1791.34,108.4375,,1791.34,35,,1791.3402,4.5625,,1791.3402,6.625,,1791.3404,2.01171875,,1791.3404,0.125,,1791.3402,4.0625,,1791.3402,4.3125,,
1791.36,0,,1791.3604,0.0,,1791.3604,-0.375,,1791.36,0.75,,1791.3604,3.3000000000000003,,1791.36,161,,1791.3602,4.5,,1791.36,108.4375,,1791.36,35,,1791.36,4.5625,,1791.3602,6.75,,1791.3604,2.02734375,,1791.3604,0.1875,,1791.3602,4.0625,,1791.3602,3.25,,
1791.3802,4,,1791.3804,0.0,,1791.3804,-0.125,,1791.38,0.75,,1791.3804,3.4000000000000004,,1791.3802,161,,1791.3804,4.5,,1791.38,108.4375,,1791.38,35,,1791.3802,4.75,,1791.3804,6.6875,,1791.3804,2.0,,1791.3804,0.1875,,1791.3804,4.0625,,1791.3804,4.0,,
1791.4002,4,,1791.4004,0.0,,1791.4004,-1.875,,1791.4,0.75,,1791.4004,3.2,,1791.4002,162,,1791.4002,4.6875,,1791.4,108.4375,,1791.4,35,,1791.4002,4.4375,,1791.4002,6.6875,,1791.4004,1.9765625,,1791.4004,0.375,,1791.4002,4.1875,,1791.4002,4.875,,
1791.4202,0,,1791.4206,0.0,,1791.4206,-0.125,,1791.42,0.75,,1791.4206,3.0,,1791.4202,162,,1791.4204,4.5,,1791.42,108.4375,,1791.42,35,,1791.4202,4.1875,,1791.4204,6.75,,1791.4206,1.9921875,,1791.4206,0.1875,,1791.4204,4.0625,,1791.4204,4.25,,
1791.4402,0,,1791.4404,0.0,,1791.4404,0.6875,,1791.44,0.75,,1791.4404,3.1,,1791.4402,162,,1791.4404,4.1875,,1791.44,108.4375,,1791.44,35,,1791.4402,4.3125,,1791.4404,6.8125,,1791.4404,2.01953125,,1791.4404,0.125,,1791.4404,3.8125,,1791.4404,3.3125,,
1791.4602,0,,1791.4604,0.0,,1791.4604,0.5,,1791.46,0.75,,1791.4606,3.3000000000000003,,1791.4602,163,,1791.4604,4.25,,1791.46,108.4375,,1791.46,35,,1791.4602,4.5625,,1791.4604,6.875,,1791.4604,2.046875,,1791.4604,0.125,,1791.4604,3.8125,,1791.4604,2.875,,
1791.4802,4,,1791.4806,0.0,,1791.4806,0.125,,1791.48,0.75,,1791.4806,3.5,,1791.4802,163,,1791.4804,4.4375,,1791.48,108.4375,,1791.48,35,,1791.4802,4.875,,1791.4804,6.8125,,1791.4806,2.01953125,,1791.4806,0.125,,1791.4804,4.0,,1791.4804,3.8125,,
1791.5002,0,,1791.5006,0.0,,1791.5006,-0.8125,,1791.5,0.75,,1791.5006,3.3000000000000003,,1791.5002,164,,1791.5004,4.75,,1791.5,108.5,,1791.5,35,,1791.5002,4.5625,,1791.5004,6.8125,,1791.5006,2.01953125,,1791.5006,0.1875,,1791.5004,4.3125,,1791.5004,3.875,,
1791.5202,0,,1791.5204,0.0,,1791.5204,-0.4375,,1791.52,0.75,,1791.5206,3.3000000000000003,,1791.5202,164,,1791.5204,4.625,,1791.52,108.4375,,1791.52,35,,1791.5202,4.5625,,1791.5204,6.8125,,1791.5204,1.984375,,1791.5204,0.1875,,1791.5204,4.125,,1791.5204,2.875,,
1791.5402,4,,1791.5404,0.0,,1791.5404,0.25,,1791.54,0.75,,1791.5406,3.1,,1791.5402,164,,1791.5404,4.5,,1791.54,108.4375,,1791.54,35,,1791.5402,4.3125,,1791.5404,6.875,,1791.5404,2.02734375,,1791.5404,0.125,,1791.5404,4.0625,,1791.5404,3.3125,,
1791.5602,4,,1791.5606,0.0,,1791.5606,0.25,,1791.5602,0.75,,1791.5606,3.4000000000000004,,1791.5602,164,,1791.5604,4.3125,,1791.5602,108.4375,,1791.5602,35,,1791.5602,4.75,,1791.5604,6.6875,,1791.5606,2.046875,,1791.5606,0.1875,,1791.5604,3.875,,1791.5604,5.375,,
1791.5802,4,,1791.5806,0.0,,1791.5806,-4.125,,1791.58,0.75,,1791.5806,3.5,,1791.5802,164,,1791.5804,4.625,,1791.58,108.4375,,1791.58,35,,1791.5802,4.875,,1791.5804,6.75,,1791.5806,1.9921875,,1791.5806,0.25,,1791.5804,4.125,,1791.5804,3.875,,
1791.6002,0,,1791.6004,0.0,,1791.6004,-0.75,,1791.6,0.75,,1791.6006,3.1,,1791.6002,164,,1791.6004,4.8125,,1791.6,108.5,,1791.6,35,,1791.6002,4.3125,,1791.6004,6.8125,,1791.6004,2.0,,1791.6004,0.25,,1791.6004,4.3125,,1791.6004,3.8125,,
1791.6204,0,,1791.6206,0.0,,1791.6206,-0.5625,,1791.6202,0.75,,1791.6206,3.2,,1791.6204,163,,1791.6204,4.4375,,1791.6202,108.4375,,1791.6202,35,,1791.6204,4.4375,,1791.6204,6.9375,,1791.6206,2.08984375,,1791.6206,0.1875,,1791.6204,4.0,,1791.6204,2.125,,
