Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
0	01/25 16:19:42	#2376 000:01:46:07	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
1	01/25 16:19:43	#2376 000:01:46:08	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
2	01/25 16:19:44	#2376 000:01:46:09	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.86	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
3	01/25 16:19:45	#2376 000:01:46:10	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
4	01/25 16:19:46	#2376 000:01:46:11	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.84	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.84	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
5	01/25 16:19:47	#2376 000:01:46:12	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
6	01/25 16:19:48	#2376 000:01:46:13	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
7	01/25 16:19:49	#2376 000:01:46:14	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
8	01/25 16:19:50	#2376 000:01:46:15	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
9	01/25 16:19:51	#2376 000:01:46:16	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.86	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
10	01/25 16:19:52	#2376 000:01:46:17	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
11	01/25 16:19:53	#2376 000:01:46:18	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
12	01/25 16:19:54	#2376 000:01:46:19	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
13	01/25 16:19:55	#2376 000:01:46:20	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.84	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.84	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
14	01/25 16:19:56	#2376 000:01:46:21	0.0	0.2	0.2	107.4	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	25	3.81	3.83	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.84	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.84	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
15	01/25 16:19:57	#2376 000:01:46:22	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
16	01/25 16:19:58	#2376 000:01:46:23	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.84	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.84	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.81	3.84	3.84	
17	01/25 16:19:59	#2376 000:01:46:24	0.0	0.2	0.2	107.5	79	47	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	19	3.81	3.84	3.86	14	3.85	29	26	29	32	0	0.0	19	0.5	1.1	13	16.2	5	3.86	30	1.1		7	3.84	3.81	3.86	3.84	3.84	3.86	3.86	3.86	3.86	3.84	3.84	3.84	3.84	3.84	3.86	3.81	3.84	3.84	3.81	3.81	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	
